time,x,y,health
0.000000,0.733333,0.400000,healthy
0.005000,0.729554,0.396726,healthy
0.010000,0.725775,0.393452,healthy
0.015000,0.721997,0.390178,healthy
0.020000,0.718218,0.386904,healthy
0.025000,0.714439,0.383629,healthy
0.030000,0.710660,0.380355,healthy
0.035000,0.706881,0.377081,healthy
0.040000,0.703102,0.373807,healthy
0.045000,0.699323,0.370533,healthy
0.050000,0.695544,0.367259,healthy
0.055000,0.691765,0.363985,healthy
0.060000,0.687986,0.360711,healthy
0.065000,0.684207,0.357437,healthy
0.070000,0.680428,0.354162,healthy
0.075000,0.676650,0.350888,healthy
0.080000,0.672871,0.347614,healthy
0.085000,0.669092,0.344340,healthy
0.090000,0.665313,0.341066,healthy
0.095000,0.661534,0.337792,healthy
0.100000,0.657755,0.334518,healthy
0.105000,0.653976,0.331244,healthy
0.110000,0.650197,0.327970,healthy
0.115000,0.646418,0.324695,healthy
0.120000,0.642639,0.321421,healthy
0.125000,0.638860,0.318147,healthy
0.130000,0.635081,0.314873,healthy
0.135000,0.640059,0.315347,healthy
0.140000,0.645036,0.315821,healthy
0.145000,0.650014,0.316296,healthy
0.150000,0.654991,0.316770,healthy
0.155000,0.659969,0.317244,healthy
0.160000,0.663811,0.314044,healthy
0.165000,0.667653,0.310845,healthy
0.170000,0.671495,0.307645,healthy
0.175000,0.675337,0.304445,healthy
0.180000,0.679180,0.301246,healthy
0.185000,0.683022,0.298046,healthy
0.190000,0.686864,0.294846,healthy
0.195000,0.690706,0.291646,healthy
0.200000,0.694548,0.288447,healthy
0.205000,0.698390,0.285247,healthy
0.210000,0.702232,0.282047,healthy
0.215000,0.706075,0.278848,healthy
0.220000,0.709917,0.275648,healthy
0.225000,0.713759,0.272448,healthy
0.230000,0.717601,0.269249,healthy
0.235000,0.713759,0.272448,healthy
0.240000,0.709917,0.275648,healthy
0.245000,0.706075,0.278848,healthy
0.250000,0.702232,0.282047,healthy
0.255000,0.698390,0.285247,healthy
0.260000,0.694548,0.288447,healthy
0.265000,0.690706,0.291646,healthy
0.270000,0.686864,0.294846,healthy
0.275000,0.683022,0.298046,healthy
0.280000,0.679180,0.301246,healthy
0.285000,0.675337,0.304445,healthy
0.290000,0.671495,0.307645,healthy
0.295000,0.667653,0.310845,healthy
0.300000,0.663811,0.314044,healthy
0.305000,0.659969,0.317244,healthy
0.310000,0.656127,0.320444,healthy
0.315000,0.652285,0.323643,healthy
0.320000,0.648442,0.326843,healthy
0.325000,0.644600,0.330043,healthy
0.330000,0.640758,0.333242,healthy
0.335000,0.636916,0.336442,healthy
0.340000,0.633074,0.339642,healthy
0.345000,0.629232,0.342841,healthy
0.350000,0.625390,0.346041,healthy
0.355000,0.621547,0.349241,healthy
0.360000,0.617705,0.352440,healthy
0.365000,0.613863,0.355640,healthy
0.370000,0.610021,0.358840,healthy
0.375000,0.613051,0.354863,healthy
0.380000,0.616081,0.350885,healthy
0.385000,0.619112,0.346908,healthy
0.390000,0.622142,0.342931,healthy
0.395000,0.625172,0.338954,healthy
0.400000,0.628202,0.334977,healthy
0.405000,0.631232,0.331000,healthy
0.410000,0.626255,0.330525,healthy
0.415000,0.621278,0.330051,healthy
0.420000,0.616300,0.329577,healthy
0.425000,0.621278,0.330051,healthy
0.430000,0.626255,0.330525,healthy
0.435000,0.631232,0.331000,healthy
0.440000,0.635075,0.327800,healthy
0.445000,0.638917,0.324600,healthy
0.450000,0.642759,0.321401,healthy
0.455000,0.646601,0.318201,healthy
0.460000,0.650443,0.315001,healthy
0.465000,0.654285,0.311802,healthy
0.470000,0.658127,0.308602,healthy
0.475000,0.661970,0.305402,healthy
0.480000,0.665812,0.302202,healthy
0.485000,0.669654,0.299003,healthy
0.490000,0.673496,0.295803,healthy
0.495000,0.677338,0.292603,healthy
0.500000,0.681180,0.289404,healthy
0.505000,0.685023,0.286204,healthy
0.510000,0.688865,0.283004,healthy
0.515000,0.692707,0.279805,healthy
0.520000,0.696549,0.276605,healthy
0.525000,0.700391,0.273405,healthy
0.530000,0.704233,0.270206,healthy
0.535000,0.708075,0.267006,healthy
0.540000,0.711918,0.263806,healthy
0.545000,0.715760,0.260607,healthy
0.550000,0.711918,0.263806,healthy
0.555000,0.708075,0.267006,healthy
0.560000,0.704233,0.270206,healthy
0.565000,0.700391,0.273405,healthy
0.570000,0.696549,0.276605,healthy
0.575000,0.692707,0.279805,healthy
0.580000,0.688865,0.283004,healthy
0.585000,0.685023,0.286204,healthy
0.590000,0.681180,0.289404,healthy
0.595000,0.677338,0.292603,healthy
0.600000,0.673496,0.295803,healthy
0.605000,0.669654,0.299003,healthy
0.610000,0.665812,0.302202,healthy
0.615000,0.661544,0.299598,healthy
0.620000,0.657276,0.296993,healthy
0.625000,0.653008,0.294389,healthy
0.630000,0.648740,0.291784,healthy
0.635000,0.644472,0.289180,healthy
0.640000,0.640203,0.286575,healthy
0.645000,0.635935,0.283971,healthy
0.650000,0.631667,0.281366,healthy
0.655000,0.627399,0.278761,healthy
0.660000,0.623131,0.276157,healthy
0.665000,0.618863,0.273552,healthy
0.670000,0.614595,0.270948,healthy
0.675000,0.610327,0.268343,healthy
0.680000,0.606059,0.265739,healthy
0.685000,0.601791,0.263134,healthy
0.690000,0.597523,0.260530,healthy
0.695000,0.593255,0.257925,healthy
