time,healthy,sick,recovered,dead
0.000000,195,1,0,0
0.005000,195,1,0,0
0.010000,195,1,0,0
0.015000,195,1,0,0
0.020000,195,1,0,0
0.025000,195,1,0,0
0.030000,195,1,0,0
0.035000,195,1,0,0
0.040000,195,1,0,0
0.045000,195,1,0,0
0.050000,195,1,0,0
0.055000,195,1,0,0
0.060000,195,1,0,0
0.065000,195,1,0,0
0.070000,195,1,0,0
0.075000,195,1,0,0
0.080000,195,1,0,0
0.085000,195,1,0,0
0.090000,195,1,0,0
0.095000,195,1,0,0
0.100000,195,1,0,0
0.105000,195,1,0,0
0.110000,195,1,0,0
0.115000,195,1,0,0
0.120000,195,1,0,0
0.125000,195,1,0,0
0.130000,195,1,0,0
0.135000,195,1,0,0
0.140000,195,1,0,0
0.145000,195,1,0,0
0.150000,195,1,0,0
0.155000,195,1,0,0
0.160000,195,1,0,0
0.165000,195,1,0,0
0.170000,195,1,0,0
0.175000,195,1,0,0
0.180000,195,1,0,0
0.185000,195,1,0,0
0.190000,195,1,0,0
0.195000,195,1,0,0
0.200000,195,1,0,0
0.205000,195,1,0,0
0.210000,195,1,0,0
0.215000,195,1,0,0
0.220000,195,1,0,0
0.225000,195,1,0,0
0.230000,195,1,0,0
0.235000,195,1,0,0
0.240000,195,1,0,0
0.245000,195,1,0,0
0.250000,195,1,0,0
0.255000,195,1,0,0
0.260000,195,1,0,0
0.265000,195,1,0,0
0.270000,195,1,0,0
0.275000,195,1,0,0
0.280000,195,1,0,0
0.285000,195,1,0,0
0.290000,195,1,0,0
0.295000,195,1,0,0
0.300000,195,1,0,0
0.305000,195,1,0,0
0.310000,195,1,0,0
0.315000,195,1,0,0
0.320000,195,1,0,0
0.325000,195,1,0,0
0.330000,195,1,0,0
0.335000,195,1,0,0
0.340000,195,1,0,0
0.345000,195,1,0,0
0.350000,195,1,0,0
0.355000,195,1,0,0
0.360000,195,1,0,0
0.365000,195,1,0,0
0.370000,195,1,0,0
0.375000,195,1,0,0
0.380000,195,1,0,0
0.385000,195,1,0,0
0.390000,195,1,0,0
0.395000,195,1,0,0
0.400000,195,1,0,0
0.405000,195,1,0,0
0.410000,195,1,0,0
0.415000,195,1,0,0
0.420000,195,1,0,0
0.425000,195,1,0,0
0.430000,195,1,0,0
0.435000,195,1,0,0
0.440000,195,1,0,0
0.445000,195,1,0,0
0.450000,195,1,0,0
0.455000,195,1,0,0
0.460000,195,1,0,0
0.465000,195,1,0,0
0.470000,195,1,0,0
0.475000,195,1,0,0
0.480000,195,1,0,0
0.485000,195,1,0,0
0.490000,195,1,0,0
0.495000,195,1,0,0
0.500000,195,1,0,0
0.505000,195,1,0,0
0.510000,195,1,0,0
0.515000,195,1,0,0
0.520000,195,1,0,0
0.525000,195,1,0,0
0.530000,195,1,0,0
0.535000,195,1,0,0
0.540000,195,1,0,0
0.545000,195,1,0,0
0.550000,195,1,0,0
0.555000,195,1,0,0
0.560000,195,1,0,0
0.565000,195,1,0,0
0.570000,195,1,0,0
0.575000,195,1,0,0
0.580000,195,1,0,0
0.585000,195,1,0,0
0.590000,195,1,0,0
0.595000,195,1,0,0
0.600000,195,1,0,0
0.605000,195,1,0,0
0.610000,195,1,0,0
0.615000,195,1,0,0
0.620000,195,1,0,0
0.625000,195,1,0,0
0.630000,195,1,0,0
0.635000,195,1,0,0
0.640000,195,1,0,0
0.645000,195,1,0,0
0.650000,195,1,0,0
0.655000,195,1,0,0
0.660000,195,1,0,0
0.665000,195,1,0,0
0.670000,195,1,0,0
0.675000,195,1,0,0
0.680000,195,1,0,0
0.685000,195,1,0,0
0.690000,195,1,0,0
0.695000,195,1,0,0
0.700000,195,1,0,0
0.705000,195,1,0,0
0.710000,195,1,0,0
0.715000,195,1,0,0
0.720000,195,1,0,0
0.725000,195,1,0,0
0.730000,195,1,0,0
0.735000,195,1,0,0
0.740000,195,1,0,0
0.745000,195,1,0,0
0.750000,195,1,0,0
0.755000,195,1,0,0
0.760000,195,1,0,0
0.765000,195,1,0,0
0.770000,195,1,0,0
0.775000,195,1,0,0
0.780000,195,1,0,0
0.785000,195,1,0,0
0.790000,195,1,0,0
0.795000,195,1,0,0
0.800000,195,1,0,0
0.805000,195,1,0,0
0.810000,195,1,0,0
0.815000,195,1,0,0
0.820000,195,1,0,0
0.825000,195,1,0,0
0.830000,195,1,0,0
0.835000,195,1,0,0
0.840000,195,1,0,0
0.845000,195,1,0,0
0.850000,195,1,0,0
0.855000,195,1,0,0
0.860000,195,1,0,0
0.865000,195,1,0,0
0.870000,195,1,0,0
0.875000,195,1,0,0
0.880000,195,1,0,0
0.885000,195,1,0,0
0.890000,195,1,0,0
0.895000,195,1,0,0
0.900000,195,1,0,0
0.905000,195,1,0,0
0.910000,195,1,0,0
0.915000,195,1,0,0
0.920000,195,1,0,0
0.925000,195,1,0,0
0.930000,195,1,0,0
0.935000,195,1,0,0
0.940000,195,1,0,0
0.945000,195,1,0,0
0.950000,194,2,0,0
0.955000,194,2,0,0
0.960000,194,2,0,0
0.965000,193,3,0,0
0.970000,193,3,0,0
0.975000,193,3,0,0
0.980000,193,3,0,0
0.985000,193,3,0,0
0.990000,193,3,0,0
0.995000,193,3,0,0
1.000000,193,3,0,0
1.005000,192,4,0,0
1.010000,192,4,0,0
1.015000,192,4,0,0
1.020000,192,4,0,0
1.025000,192,4,0,0
1.030000,192,4,0,0
1.035000,192,4,0,0
1.040000,192,4,0,0
1.045000,192,4,0,0
1.050000,192,4,0,0
1.055000,192,4,0,0
1.060000,192,4,0,0
1.065000,192,4,0,0
1.070000,192,4,0,0
1.075000,192,4,0,0
1.080000,191,5,0,0
1.085000,191,5,0,0
1.090000,191,5,0,0
1.095000,191,5,0,0
1.100000,191,5,0,0
1.105000,191,5,0,0
1.110000,191,5,0,0
1.115000,191,5,0,0
1.120000,191,5,0,0
1.125000,191,5,0,0
1.130000,191,5,0,0
1.135000,191,5,0,0
1.140000,191,5,0,0
1.145000,191,5,0,0
1.150000,191,5,0,0
1.155000,191,5,0,0
1.160000,191,5,0,0
1.165000,191,5,0,0
1.170000,191,5,0,0
1.175000,191,5,0,0
1.180000,191,5,0,0
1.185000,191,5,0,0
1.190000,191,5,0,0
1.195000,191,5,0,0
1.200000,191,5,0,0
1.205000,191,5,0,0
1.210000,191,5,0,0
1.215000,191,5,0,0
1.220000,191,5,0,0
1.225000,191,5,0,0
1.230000,191,5,0,0
1.235000,191,5,0,0
1.240000,191,5,0,0
1.245000,191,5,0,0
1.250000,191,5,0,0
1.255000,191,5,0,0
1.260000,190,6,0,0
1.265000,190,6,0,0
1.270000,190,6,0,0
1.275000,190,6,0,0
1.280000,189,7,0,0
1.285000,189,7,0,0
1.290000,189,7,0,0
1.295000,189,7,0,0
1.300000,189,7,0,0
1.305000,189,7,0,0
1.310000,189,7,0,0
1.315000,189,7,0,0
1.320000,189,7,0,0
1.325000,189,7,0,0
1.330000,189,7,0,0
1.335000,189,7,0,0
1.340000,189,7,0,0
1.345000,189,7,0,0
1.350000,189,7,0,0
1.355000,189,7,0,0
1.360000,189,7,0,0
1.365000,189,7,0,0
1.370000,188,8,0,0
1.375000,187,9,0,0
1.380000,187,9,0,0
1.385000,187,9,0,0
1.390000,187,9,0,0
1.395000,187,9,0,0
1.400000,187,9,0,0
1.405000,187,9,0,0
1.410000,187,9,0,0
1.415000,187,9,0,0
1.420000,187,9,0,0
1.425000,187,9,0,0
1.430000,187,9,0,0
1.435000,187,9,0,0
1.440000,187,9,0,0
1.445000,187,9,0,0
1.450000,187,9,0,0
1.455000,184,12,0,0
1.460000,184,12,0,0
1.465000,184,12,0,0
1.470000,184,12,0,0
1.475000,184,12,0,0
1.480000,184,12,0,0
1.485000,184,12,0,0
1.490000,184,12,0,0
1.495000,184,12,0,0
1.500000,184,12,0,0
1.505000,183,13,0,0
1.510000,183,13,0,0
1.515000,182,14,0,0
